job_id,run_label,planner_key,metric,scenario_matrix_hash,comparability_mapping_hash,evidence_status,benchmark_success,episodes,seed_count,source,value_status,summary_mean,seed_mean,bootstrap_ci_low,bootstrap_ci_high,seed_values_json
13268,confirm,goal,snqi,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,-0.193200,-0.193225,-0.203494,-0.176783,"{""111"": -0.19939825953688342, ""112"": -0.17678317757350273, ""113"": -0.20349405867911205}"
13268,confirm,goal,success,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.388900,0.388889,0.375000,0.395833,"{""111"": 0.3958333333333333, ""112"": 0.3958333333333333, ""113"": 0.375}"
13268,confirm,goal,collision,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.611100,0.611111,0.604167,0.625000,"{""111"": 0.6041666666666666, ""112"": 0.6041666666666666, ""113"": 0.625}"
13268,confirm,goal,near_miss,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,8.638900,8.638889,6.895833,10.520833,"{""111"": 10.520833333333334, ""112"": 6.895833333333333, ""113"": 8.5}"
13268,confirm,goal,comfort,c10df617a87c,6f349046993d,valid,True,144,0,campaign_summary_aggregate,no_seed_episode_column,0.030600,,0.017159,0.048947,{}
13268,confirm,orca,snqi,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,-0.198400,-0.198384,-0.217964,-0.181214,"{""111"": -0.19597388426599363, ""112"": -0.18121391196567405, ""113"": -0.2179639412699719}"
13268,confirm,orca,success,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.743100,0.743056,0.729167,0.770833,"{""111"": 0.7708333333333334, ""112"": 0.7291666666666666, ""113"": 0.7291666666666666}"
13268,confirm,orca,collision,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.236100,0.236111,0.208333,0.250000,"{""111"": 0.20833333333333334, ""112"": 0.25, ""113"": 0.25}"
13268,confirm,orca,near_miss,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,12.770800,12.770833,9.104167,18.312500,"{""111"": 18.3125, ""112"": 9.104166666666666, ""113"": 10.895833333333334}"
13268,confirm,orca,comfort,c10df617a87c,6f349046993d,valid,True,144,0,campaign_summary_aggregate,no_seed_episode_column,0.030500,,0.016231,0.049029,{}
13268,confirm,ppo,snqi,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,-0.156000,-0.156038,-0.192088,-0.134727,"{""111"": -0.19208769999124506, ""112"": -0.13472712183809643, ""113"": -0.1412985003418791}"
13268,confirm,ppo,success,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.701400,0.701389,0.625000,0.770833,"{""111"": 0.625, ""112"": 0.7083333333333334, ""113"": 0.7708333333333334}"
13268,confirm,ppo,collision,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.284700,0.284722,0.208333,0.354167,"{""111"": 0.3541666666666667, ""112"": 0.2916666666666667, ""113"": 0.20833333333333334}"
13268,confirm,ppo,near_miss,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,4.395800,4.395833,3.104167,5.333333,"{""111"": 5.333333333333333, ""112"": 3.1041666666666665, ""113"": 4.75}"
13268,confirm,ppo,comfort,c10df617a87c,6f349046993d,valid,True,144,0,campaign_summary_aggregate,no_seed_episode_column,0.029900,,0.016006,0.048509,{}
13268,confirm,prediction_planner,snqi,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,-0.145100,-0.145123,-0.186959,-0.117719,"{""111"": -0.18695852696868837, ""112"": -0.1306925241866465, ""113"": -0.11771938571077872}"
13268,confirm,prediction_planner,success,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.493100,0.493056,0.437500,0.541667,"{""111"": 0.4375, ""112"": 0.5416666666666666, ""113"": 0.5}"
13268,confirm,prediction_planner,collision,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,0.500000,0.500000,0.458333,0.541667,"{""111"": 0.5416666666666666, ""112"": 0.4583333333333333, ""113"": 0.5}"
13268,confirm,prediction_planner,near_miss,c10df617a87c,6f349046993d,valid,True,144,3,seed_episode_rows,ok,12.354200,12.354167,10.812500,15.020833,"{""111"": 15.020833333333334, ""112"": 11.229166666666666, ""113"": 10.8125}"
13268,confirm,prediction_planner,comfort,c10df617a87c,6f349046993d,valid,True,144,0,campaign_summary_aggregate,no_seed_episode_column,0.039500,,0.024675,0.060796,{}
